id	author	title	date
10.2307/2871613	Emmett L. Avery	The Defense and Criticism of Pantomimic Entertainments in the Early Eighteenth Century	1938
10.2307/1344222		Back Matter	2001
10.2307/1343704	Alain Viala - Paula Wissing	Prismatic Effects	1988
10.2307/1344072		Books of Critical Interest	1995
10.2307/2871849	Francis R. Hart	Boswell and the Romantics: A Chapter in the History of Biographical Theory	1960
10.2307/30029873	Christina Hauck	Abortion and the Individual Talent	2003
10.2307/40963184	BENJAMIN MORGAN	AESTHETIC FREEDOM: WALTER PATER AND THE POLITICS OF AUTONOMY	2010
10.2307/2871772	Claude E. Jones	Some De Quincey Manuscripts	1941
10.2307/2872755	David Marshall	Exchanging Visions: Reading A Midsummer Night's Dream	1982
10.1086/658387		Books of Critical Interest	2011
10.1086/511498	Freddy Tellez - Bruno Mazzoldi	The Pocket‐Size Interview with Jacques Derrida	2007
10.2307/2873248	Wendy Jones	Stories of Desire in the Monk	1990
10.2307/2871679	Don Cameron Allen	Dean Donne Sets his Text	1943
10.2307/1344289	Robert S. Nelson	The Slide Lecture_ or the Work of Art "History" in the Age of Mechanical Reproduction	2000
10.1086/670044	Warwick Anderson	The Case of the Archive	2013
10.2307/30030118	Janine Barchas	Sarah Fielding's Dashing Style and Eighteenth-Century Print Culture	1996
10.2307/23356187	SEAN DEMPSEY	"THE CENCI": TRAGEDY IN A SECULAR AGE	2012
10.2307/1343920	Arnold I. Davidson	Introductory Remarks	1995
10.2307/30030017	Eleanor Courtemanche	"Naked Truth Is the Best Eloquence": Martineau_ Dickens_ and the Moral Science of Realism	2006
10.2307/30030223	Graham Hammill	Faustus's Fortunes: Commodification_ Exchange_ and the Form of Literary Subjectivity	1996
10.1086/526086	Candace Vogler	The Moral of the Story	2007
10.2307/1343399	Jonathan D. Kramer	Can Modernism Survive George Rochberg?	1984
10.2307/2871536		Volume Information	1943
10.2307/2872276	Taylor Stoehr	Words and Deeds in The Princess Casamassima	1970
10.2307/1342875	Philipp Fehl	Turner's Classicism and the Problem of Periodization in the History of Art	1976
10.2307/2872470	Steven M. Cohan	Clarissa and the Individuation of Character	1976
10.2307/30029989	Benjamin Reiss	Bardolatry in Bedlam: Shakespeare_ Psychiatry_ and Cultural Authority in Nineteenth-Century America	2005
10.2307/1342964	Marcel Franciscono	History_ Textbooks_ and Art: Reflections on a Half Century of Helen Gardner's "Art through the Ages"	1977
10.2307/2872716		Back Matter	1975
10.2307/30032076	Carole Fabricant	Speaking for the Irish Nation: The Drapier_ the Bishop_ and the Problems of Colonial Representation	1999
10.1086/505378	Slavoj Žižek	Against the Populist Temptation	2006
10.2307/30030008	Kent R. Lehnhof	Incest and Empire in the "Faerie Queene"	2006
10.2307/1343807	Heinz Ickstadt	A Letter from Berlin	1991
10.2307/2871572	C. Lennart Carlson	A French Review of Tennyson's 1830 and 1832 Volumes	1936
10.2307/1342896	Wright Morris - Wayne C. Booth	The Writing of Organic Fiction: A Conversation	1976
10.2307/2871965	Robert C. Elliott	The Satirist and Society	1954
10.2307/2872663		Front Matter	1977
10.2307/1343465	Mary Louise Pratt	Scratches on the Face of the Country; Or_ What Mr. Barrow Saw in the Land of the Bushmen	1985
10.2307/1343776	Ben Nicholson	Urban Poises	1990
10.1086/660996	Gertrud Koch	Eulogy for Miriam Hansen	2011
10.2307/1344141		Back Matter	1998
10.1086/377724	Jacqueline Stewart	Negroes Laughing at Themselves? Black Spectatorship and the Performance of Urban Modernity	2003
10.2307/1343333	Eugene Goodheart	Arnold at the Present Time	1983
10.2307/30030180	Ruth Nissé	"A Coroun Ful Riche": The Rule of History in "St. Erkenwald"	1998
10.2307/2873024	James Cruise	Fielding_ Authority_ and the New Commercialism in Joseph Andrews	1987
10.2307/2873254		Front Matter	1986
10.1086/367996	Robert B. Pippin	What Was Abstract Art? (From the Point of View of Hegel)	2002
10.2307/2872782	Michael West	Thoreau and the Language Theories of the French Enlightenment	1984
10.2307/1343640	Marilynn Desmond	The Voice of Exile: Feminist Literary History and the Anonymous Anglo-Saxon Elegy	1990
10.2307/2873383	Thomas M. Greene	The Balance of Power in Marvell's "Horatian Ode"	1993
10.1086/658388		Notice to Contributors	2011
10.2307/30029553	Tracey Sedinger	"And Yet Woll I Stiell Saye That I AM I": Jake Juggler_ the Lord's Supper_ and Disguise	2007
10.2307/2871476	Kemp Malone	Notes on Middle English Lyrics	1935
10.2307/2872986	Jackson I. Cope	Peele's Old Wives Tale: Folk Stuff Into Ritual Form	1982
10.2307/2872402	Herbert N. Schneidau	The Age of Interpretation and the Moment of Immediacy: Contemporary Art vs. History	1970
10.1086/668052	Heather Keenleyside	The First-Person Form of Life: Locke_ Sterne_ and the Autobiographical Animal	2012
10.1086/667423	Robin Kelsey	Playing Hooky/Simulating Work: The Random Generation of John Baldessari	2012
10.2307/2873420	Laura Mandell	Bawds and Merchants: Engendering Capitalist Desires	1992
10.2307/30030116	Julie Ellison	Cato's Tears	1996
10.2307/1343365		Editor's Preface	1985
10.2307/2872206	Robert Y. Turner	Characterization in Shakespeare's Early History Plays	1964
10.2307/2872257	Joseph A. Hynes	The Middle Way of Miss Farange: A Study of James's Maisie	1965
10.2307/1343292	Anthony J. Niesz - Norman N. Holland	Interactive Fiction	1984
10.2307/2873381	Sandra Sherman	Printing the Mind: The Economics of Authorship in Areopagitica	1993
10.2307/1343773	W. J. T. Mitchell	The Violence of Public Art: "Do the Right Thing"	1990
10.1086/592537	Roberto Esposito	Totalitarianism or Biopolitics? Concerning a Philosophical Interpretation of the Twentieth Century	2008
10.2307/1343484	Michael Fried	Forget It: A Response to Richard Shiff	1986
10.2307/1344122	Jonathan Bordo	Picture and Witness at the Site of the Wilderness	2000
10.2307/2871483	Henry Bosley Woolf	On the Characterization of Beowulf	1948
10.2307/30031904		Front Matter	2000
10.2307/2873444	Claudia Brodsky Lacour	Austen's Pride and Prejudice and Hegel's "Truth in Art": Concept_ Reference_ and History	1992
10.2307/1344035	David Attwell	Intimate Enmity in the Journal of Tiyo Soga	1997
10.2307/1344038	Kwame Anthony Appiah	Cosmopolitan Patriots	1997
10.2307/1343270	W. J. T. Mitchell	Editor's Introduction: The Politics of Interpretation	1982
10.2307/30031915		Back Matter	2000
10.2307/30029961	Angus Fletcher	Living Magnets_ Paracelsian Corpses_ and the Psychology of Grace in Donne's Religious Verse	2005
10.2307/2872656	Robert S. Knapp	Horestes: The Uses of Revenge	1973
10.2307/2872851		[Obituary: Laurence B. Holland]	1980
10.2307/1342929		Front Matter	1977
10.2307/1343977	Diana Fuss	Look Who's Talking_ or If Looks Could Kill	1996
10.2307/30029894	Madhavi Menon	"Richard II" and the Taint of Metonymy	2003
10.2307/2871887	Irving Ribner	Marlowe's Edward II and the Tudor History Play	1955
10.2307/2872774		Back Matter	1983
10.2307/2872933	J. Douglas Canfield	The Ideology of Restoration Tragicomedy	1984
10.2307/1343268		Back Matter	1982
10.2307/2871862	Wayne Shumaker	Alisoun in Wander-Land: A Study in Chaucer's Mind and Literary Method	1951
10.2307/2872830	Douglas Anderson	The Old Testament Presence in The Merchant of Venice	1985
10.2307/2872092	Kingsley Widmer	The Iconography of Renunciation: The Miltonic Simile	1958
10.2307/1343779		Back Matter	1990
10.2307/2871720	Richard C. Boys	Some Problems of Dryden's Miscellany	1940
10.2307/1343054	Lawrence Lipking	The Marginal Gloss	1977
10.2307/30029864		Front Matter	2003
10.2307/2872012	Samuel French Morse	Wallace Stevens_ Bergson_ Pater	1964
10.2307/2871884	Earl R. Wasserman	Adonais: Progressive Revelation as a Poetic Mode	1954
10.2307/1343542	Nelson Goodman - Catherine Z. Elgin	Interpretation and Identity: Can the Work Survive the World?	1986
10.2307/2873201	Lynn Wardley	Woman's Voice_ Democracy's Body_ and the Bostonians	1989
10.2307/1343971	O. K. Werckmeister	Walter Benjamin's Angel of History_ or the Transfiguration of the Revolutionary into the Historian	1996
10.2307/1344280	Susan Rubin Suleiman	History_ Memory_ and Moral Judgment in Documentary Film: On Marcel Ophuls's "Hotel Terminus: The Life and Times of Klaus Barbie"	2002
10.2307/30030066	Mary A. Favret	Everyday War	2005
10.2307/2872680	Patricia Parker	The Progress of Phaedria's Bower: Spenser to Coleridge	1973
10.2307/2873368	David R. Carlson	Reputation and Duplicity: The Texts and Contexts of Thomas More's Epigram on Bernard André	1991
10.2307/2872075		Volume Information	1959
10.2307/2873348	David Kaufmann	Law and Propriety_ Sense and Sensibility: Austen on the Cusp of Modernity	1992
10.2307/1343409	Jerome J. McGann	The Religious Poetry of Christina Rossetti	1983
10.2307/2872436	Harry Berger_ Jr.	The Early Scenes of MacBeth: Preface to a New Interpretation	1980
10.2307/2871635	H. B. Hinckley	A Note on the Owl	1937
10.2307/2872071	Ben Kimpel	The Narrator of the Canterbury Tales	1953
10.2307/1344326	Slavoj Žižek	Melancholy and the Act	2000
10.2307/1344224	Gauri Viswanathan	The Ordinary Business of Occultism	2000
10.2307/2872930		Front Matter	1984
10.2307/2872817	Thomas F. Merrill	Milton's Satanic Parable	1983
10.2307/1343110		Back Matter	1980
10.2307/1343421	Nelson Goodman	How Buildings Mean	1985
10.2307/2871793	Maurice Charney	Shakespeare's Style in Julius Caesar and Antony and Cleopatra	1959
10.2307/1343282	E. D. Hirsch_ Jr.	The Politics of Theories of Interpretation	1982
10.2307/2872361	Albert R. Cirillo	As You Like It: Pastoralism Gone Awry	1971
10.2307/1342909	Martin Price	The Logic of Intensity: More on Character	1975
10.2307/2872474	Susan Brienza - Enoch Brater	Chance and Choice in Beckett's Lessness	1976
10.2307/1342854	Jay Schleusener	Literary Criticism and the Philosophy of Science: Rader's "Fact_ Theory_ and Literary Explanation"	1975
10.2307/30031935	Jared Gardner	The Literary Museum and the Unsettling of the Early American Novel	2000
10.2307/1342907	Wayne C. Booth	Irony and Pity Once Again: "Thaïs" Revisited	1975
10.2307/1343775	Agnes Denes	The Dream	1990
10.2307/30029884	Regina Janes	Ariosto and Gay: Bouncing Heads	2003
10.2307/1343035	Quentin Bell - E. H. Gombrich - James S. Ackerman	Notes and Exchanges	1979
10.2307/1344049	Caryl Clark	Forging Identity: Beethoven's "Ode" as European Anthem	1997
10.2307/1343257	Frank Kinahan - Seamus Heaney	An Interview with Seamus Heaney	1982
10.2307/2872951	John Hannay	Coincidence and Converging Characters in Ulysses	1984
10.2307/2872979	Herbert J. Levine	"Freeing the Swans": Yeats's Exorcism of Maud Gonne	1981
10.1086/508085	Ziba Mir‐Hosseini	Muslim Women's Quest for Equality: Between Islamic Law and Feminism	2006
10.2307/2872509		Back Matter	1974
10.2307/2872508	William Bevis	Stevens' Toneless Poetry	1974
10.2307/1344083		Back Matter	1996
10.2307/1343753	Michael Fried	Manet in His Generation: The Face of Painting in the 1860s	1992
10.2307/1343051		Back Matter	1977
10.2307/2872046	Darrel Abel	Hawthorne's Pearl: Symbol and Character	1951
10.2307/1343258	Robert von Hallberg	Donald Davie and "The Moral Shape of Politics"	1982
10.2307/2873114	Stuart Peterfreund	The Way of Immanence_ Coleridge_ and the Problem of Evil	1988
10.2307/1343161	Margaret Homans	Eliot_ Wordsworth_ and the Scenes of the Sisters' Instruction	1981
10.1086/598811	Daniel Boyarin	Patron Saint of the Incongruous: Rabbi Me'ir_ the Talmud_ and Menippean Satire	2009
10.2307/1343213	Walter Benn Michaels	Fictitious Dealing: A Reply to Leo Bersani	1981
10.2307/2872492	Margaret E. Shaklee	Grammatical Agency and the Argument for Responsibility in Paradise lost	1975
10.2307/1343344	Paul Alpers - Donald Davie - Julia Kristeva	Responses to "The Politics of Interpretation"	1983
10.2307/2871533	Lily B. Campbell	John Dolman	1937
10.2307/1342811		Front Matter	1976
10.2307/1343799	Richard Serra	Art and Censorship	1991
10.2307/1344147	Rachel Feldhay Brenner	"Hidden Transcripts" Made Public: Israeli Arab Fiction and Its Reception	1999
10.2307/2871908	Robert C. Elliott	The Shape of Utopia	1963
10.2307/2873074	Helen M. Burke	Annus Mirabilis and the Ideology of the new Science	1990
10.2307/1343438	Jerome Christensen	"Like a Guilty Thing Surprised": Deconstruction_ Coleridge_ and the Apostasy of Criticism	1986
10.2307/1344119		Geopoetics: Space_ Place_ and Landscape	2000
10.2307/1344009	Mark Seltzer	Serial Killers (II): The Pathological Public Sphere	1995
10.2307/1343566		Books of Critical Interest	1986
10.1086/526093		Books of Critical Interest	2007
10.2307/1342843	Jorge Luis Borges	Walt Whitman: Man and Myth	1975
10.1086/368000	Alan Sinfield	Lesbian and Gay Taxonomies	2002
10.2307/2872351		Back Matter	1971
10.2307/27742968	Elizabeth Hewitt	Charles Chesnutt's Capitalist Conjurings	2009
10.2307/2871881	Louis L. Martz	Paradise Regained: The Meditative Combat	1960
10.1086/430974	Saree Makdisi	Said_ Palestine_ and the Humanism of Liberation	2005
10.2307/2872955	Leonard Barkan	"Living Sculptures": Ovid_ Michelangelo_ and the Winter's Tale	1981
10.2307/1343466	Homi K. Bhabha	Signs Taken for Wonders: Questions of Ambivalence and Authority under a Tree outside Delhi_ May 1817	1985
10.1086/444518	Jennifer Bajorek	The Offices of Homeland Security_ or Hölderlin’s Terrorism	2005
10.2307/1344215	Mary Poovey	The Model System of Contemporary Literary Criticism	2001
10.2307/1344276	Jacques Derrida - David Wills	The Animal That Therefore I Am (More to Follow)	2002
10.2307/2873125	Judith Frank	"A Man Who laughs is Never Dangerous": Character and Class in Sterne's A Sentimental Journey	1989
10.2307/2872717		Volume Information	1974
10.2307/1342812	Sheldon Sacks	Chimera II: The Margins of Mutual Comprehension	1976
10.2307/1343060	Carol Ohmann - Richard Ohmann	Universals and the Historically Particular	1977
10.2307/2872793	Karl P. Wentersdorf	The Thematic Significance of the Flower Catalogue in Milton's Lycidas	1980
10.1086/421124	James Dawes	Atrocity and Interrogation	2004
10.2307/2872707	A. Paul Shallers	The "Nun's Priest's Tale": An Ironic Exemplum	1975
10.1086/511494	W. J. T. Mitchell	Picturing Terror: Derrida’s Autoimmunity	2007
10.2307/2873135	Harry Berger_ Jr.	Richard II 3.2: An Exercise in Imaginary Audition	1988
10.2307/2871897	Harold Fisch	The Puritans and the Reform of Prose-Style	1952
10.2307/1343178	Nelson Goodman	Twisted Tales; Or_ Story_ Study_ and Symphony	1980
10.2307/2873151	Beth Newman	Narratives of Seduction and the Seductions of Narrative: The Frame Structure of Frankenstein	1986
10.2307/2871500	Walter E. Houghton	The Meaning of Keats's Eve of St. Mark	1946
10.2307/2873123	Jules Brody	The Resurrection of the Body: A New Reading of Marvell's to his Coy Mistress	1989
10.1086/668055	Nasser Rabbat	The Arab Revolution Takes Back the Public Space	2012
10.2307/30030146	William Deresiewicz	Community and Cognition in "Pride and Prejudice"	1997
10.1086/430976	Aamir R. Mufti	Global Comparativism	2005
10.2307/2872615	Janice Carlisle	The Face in the Mirror: Villette and the Conventions of Autobiography	1979
10.2307/1344299	James R. Kincaid	[Professional Harassment]: Response	2000
10.1086/660984	Joseph DeLappe - David Simpson	Virtual Commemoration: The Iraqi Memorial Project	2011
10.1086/661645	Bernard Dionysius Geoghegan	From Information Theory to French Theory: Jakobson_ Lévi-Strauss_ and the Cybernetic Apparatus	2011
10.2307/2871557		Volume Information	1948
10.2307/1342933	J. Hillis Miller	The Critic as Host	1977
10.2307/1344246	Lawrence Venuti	Introduction	2001
10.2307/1344282	W. J. T. Mitchell	911: Criticism and Crisis	2002
10.2307/2871514	Arnold Stein	Milton and Metaphysical Art: An Exploration	1949
10.2307/2872823	R. D. Ackerman	Death and Fiction: Stevens' Mother of Beauty	1983
10.2307/30031984	R. Grant Williams	Disfiguring the Body of Knowledge: Anatomical Discourse and Robert Burton's "The Anatomy of Melancholy"	2001
10.2307/30030229	Sara Blair	Henry James_ Jack the Ripper_ and the Cosmopolitan Jew: Staging Authorship in "The Tragic Muse"	1996
10.2307/2873032	Michael North	The Word as Bond: Money and Performative Language in Hill's Mercian Hymns	1987
10.2307/1343447	Robert Scholes	Deconstruction and Communication	1988
10.2307/30030261	Srinivas Aravamudan	Lady Mary Wortley Montagu in the Hammam: Masquerade_ Womanliness_ and Levantinization	1995
10.1086/508083	Carlos Fuentes	In Praise of the Novel	2006
10.2307/2871807	Edward A. Bloom	The Allegorical Principle	1951
10.2307/30029966	David J. Baker	"The Allegory of a China Shop": Jonson's "Entertainment at Britain's Burse"	2005
10.2307/2873367		Front Matter	1991
10.2307/2872355	Philip Drew	Appearance and Reality in Melville's The Confidence-Man	1964
10.2307/1343738	Vicki Mahaffey	The Case against Art: Wunderlich on Joyce	1991
10.2307/1343471	Barbara Johnson	Thresholds of Difference: Structures of Address in Zora Neale Hurston	1985
10.2307/2872966	Alex Zwerdling	Jacob's Room: Woolf's Satiric Elegy	1981
10.2307/1343009	Peter Viereck	Strict Form in Poetry: Would Jacob Wrestle with a Flabby Angel?	1978
10.2307/1344318	James Conant	In the Electoral Colony: Kafka in Florida	2001
10.1086/596643	Nancy Bentley	The Fourth Dimension: Kinlessness and African American Narrative	2009
10.2307/2872689	Bonnie Zimmerman	Felix Holt and the True Power of Womanhood	1979
10.2307/2872855	Dennis R. Danielson	Imago Dei_ "Filial Freedom_" and Miltonic Theodicy	1980
10.2307/1343740	Marie-Hélène Huet	Monstrous Imagination: Progeny as Art in French Classicism	1991
10.2307/1344290	Eugene Y. Wang	The Winking Owl: Visual Effect and Its Art Historical Thick Description	2000
10.2307/1343068	Heinz Kohut	Psychoanalysis and the Interpretation of Literature: A Correspondence with Erich Heller	1978
10.2307/2872813	David L. Miller	Spenser's Vocation_ Spenser's Career	1983
10.2307/2871761	Leslie Hotson	Literary Serendipity	1942
10.2307/1343908		Front Matter	1994
10.1086/598821	Michael A. Di Giovine	Re-Presenting a Contemporary Saint: Padre Pio of Pietrelcina	2009
10.2307/20184424	Ingrid Monson	Hearing_ Seeing_ and Perceptual Agency	2008
10.2307/1343156		Back Matter	1981
10.2307/1343315	Jonathan Beck	Formalism and Virtuosity: Franco-Burgundian Poetry_ Music_ and Visual Art_ 1470-1520	1984
10.2307/30029915	Srdjan Smajic	The Trouble with Ghost-Seeing: Vision_ Ideology_ and Genre in the Victorian Ghost Story	2003
10.1086/600095	Neil Forsyth	‘Lycidas': A Wolf in Saint's Clothing	2009
10.2307/2871827	Stephen Maxfield Parrish	"The Thorn": Wordsworth's Dramatic Monologue	1957
10.2307/2873095		Volume Information	1987
10.2307/30029929	Arthur Riss	The Art of Discrimination	2004
10.2307/2873310	Martin Wechselblatt	Finding Mr. Boswell: Rhetorical Authority and National Identity in Johnson's a Journey to the Western Islands of Scotland	1993
10.1086/661648	Patrick Jagoda	I<br></br>Wired	2011
10.2307/30030100		Front Matter	1995
10.2307/1344315	Bill Nichols	Documentary Film and the Modernist Avant-Garde	2001
10.2307/2872417	Mary Poovey	Journeys from this World to the Next: The Providential Promise in Clarissa and Tom Jones	1976
10.2307/2871662	M. Maurice Shudofsky	Charles Johnson and Eighteenth-Century Drama	1943
10.2307/27654639	Daniela Garofalo	Impossible Love and Commodity Culture in Emily Bront?'s "Wuthering Heights"	2008
10.2307/1343564	Mary Louise Pratt	A Reply to Harold Fromm	1986
10.2307/1343781	Jacques Derrida - Peggy Kamuf	Given Time: The Time of the King	1992
10.2307/2871631	Wm. Stanford Webb	Vergil in Spenser's Epic Theory	1937
10.2307/1343533		Back Matter	1987
10.2307/1344029	Homi Bhabha	Editor's Introduction: Minority Maneuvers and Unsettled Negotiations	1997
10.2307/2873064	Shawn Rosenheim	"The King of `Secret Readers'": Edgar Poe_ Cryptography_ and the Origins of the Detective Story	1989
10.2307/1343870		Books of Critical Interest	1994
10.2307/1343015	Ross Chambers	Commentary in Literary Texts	1978
10.2307/2871944	Alan H. Roper	Dryden's Medal and the Divine Analogy	1962
10.2307/1343852	Johann Baptist Metz - J. Matthew Ashley	Suffering Unto God	1994
10.2307/2871869	D. W. Robertson_ Jr.	Chaucerian Tragedy	1952
10.2307/2872832	Magdalene Redekop	Beyond Closure: Buried Alive with Hogg's Justified Sinner	1985
10.2307/30031932	Michael J. Colacurcio	Primitive Comfort: The Spiritual Witness of John Cotton	2000
10.2307/1343412	Richard Ohmann	The Shaping of a Canon: U.S. Fiction_ 1960-1975	1983
10.2307/1343038		Front Matter	1977
10.2307/2873071	Barbara Correll	Malleable Material_ Models of Power: Woman in Erasmus's "Marriage Group" and Civility in Boys	1990
10.2307/1343544	Derek Longhurst	A Response to Peter Rabinowitz	1986
10.2307/1343508	Anne Burnett	The Scrutiny of Song: Pindar_ Politics_ and Poetry	1987
10.2307/23256754	SUSAN J. WOLFSON	FIRST ACQUAINTANCE & "QUAINT ALLUSION"	2012
10.2307/1342791	Francisco Ayala	Ortega y Gasset_ Literary Critic	1974
10.2307/1343637	Mieke Bal	De-Disciplining the Eye	1990
10.2307/27654613	Graham Hammill	Time for Marlowe	2008
10.2307/30031938	Karen Sánchez-Eppler	Playing at Class	2000
10.2307/2872150	Merritt Y. Hughes	"Earth Felt the Wound"	1969
10.2307/1344126	Eli Zaretsky	Charisma or Rationalization? Domesticity and Psychoanalysis in the United States in the 1950s	2000
10.1086/421132	James Chandler	Critical Disciplinarity	2004
10.2307/2872794	Stephen Leo Carr	William Blake's Print-Making Process in Jerusalem	1980
10.2307/2873320	J. L. Simmons	Coming Out in Shakespeare's the Two Gentlemen of Verona	1993
10.2307/2873083		Front Matter	1990
10.1086/653405	Marshall Sahlins	Infrastructuralism	2010
10.1086/659351	Michel Foucault - Nicolae Morar - Daniel W. Smith	The Gay Science	2011
10.2307/1342906	Robert L. Carringer	"Citizen Kane"_ "The Great Gatsby"_ and Some Conventions of American Narrative	1975
10.2307/2871639	Allen R. Benham	The So-Called Anonymous or Earliest Life of Milton	1939
10.2307/1343574	Conrad L. Rushing	"Mere Words": The Trial of Ezra Pound	1987
10.2307/2872390	Jay Arnold Levine	The Design of A Tale of a Tub (with a Digression on a Mad Modern Critic)	1966
10.2307/30029969	Theodore B. Leinwand	"Coniugium Interruptum" in Shakespeare and Webster	2005
10.2307/2873316		Volume Information	1993
10.2307/2872427	Ronald Huebert	"An Artificial way to Grieve": The Forsaken Woman in Beaumont and Fletcher_ Massinger and Ford	1977
10.2307/1343664		Back Matter	1989
10.2307/2872331	John J. Soldo	Knowledge and Experience in the Criticism of T. S. Eliot	1968
10.2307/1343208	Harold Beaver	Homosexual Signs (In Memory of Roland Barthes)	1981
10.2307/30032067	Nicola Nixon	The Reading Gaol of Henry James's "In the Cage"	1999
10.2307/30030211	Jean I. Marsden	Female Spectatorship_ Jeremy Collier and the Anti-Theatrical Debate	1998
10.2307/2872983	Avrom Fleishman - Ronald Paulson - Stanley Fish	Three Tributes [to Arnold Stein]	1982
10.2307/2873005	Thomas Karr Richards	Gerty MacDowell and the Irish Common Reader	1985
10.2307/1342848	Barbara Herrnstein Smith	On the Margins of Discourse	1975
10.2307/2872382	John A. Dussinger	Style and Intention in Johnson's Life of Savage	1970
10.2307/1343334	George Levine	Matthew Arnold: The Artist in the Wilderness	1983
10.2307/27742971	Gerard Passannante	Homer Atomized: Francis Bacon and the Matter of Tradition	2009
10.2307/1343356	Edward W. Said	Response to Stanley Fish	1983
10.2307/2872244	Michael Lieb	"Holy Rest": A Reading of Paradise Lost	1972
10.2307/2872734	Robert A. Erickson	Mother Jewkes_ Pamela_ and the Midwives	1976
10.2307/2872524	Paul Alpers	Narration in the Faerie Queene	1977
10.2307/2872622	Edith Whitehurst Williams	The Anglo-Saxon Theme of Exile in Renaissance Lyrics: A Perspective on Two Sonnets of Sir Walter Ralegh	1975
10.2307/1343909	Louis Althusser - Richard Veasey	The Future Lasts Forever	1994
10.2307/30030048		Front Matter	2004
10.2307/2872047	Donald R. Pearce	Yeats' Last Plays: An Interpretation	1951
10.2307/30029970	Rebecca Ann Bach	(Re)placing John Donne in the History of Sexuality	2005
10.2307/1344251	Joan W. Scott	Fantasy Echo: History and the Construction of Identity	2001
10.2307/2871615	Philip H. Goepp	The Narrative Material of Apollonius of Tyre	1938
10.2307/30032051	Zachary Lesser	Mixed Government and Mixed Marriage in "A King and No King": Sir Henry Neville Reads Beaumont and Fletcher	2002
10.2307/2872496	John A. Hodgson	The World's Mysterious Doom: Shelley's the Triumph of Life	1975
10.2307/1344262	Peter Schwenger	Words and the Murder of the Thing	2001
10.1086/589489	Owen Ware	Love Speech	2008
10.2307/2871688	Earl R. Wasserman	The Pleasures of Tragedy	1947
10.2307/2872301	William J. Farrell	Fielding's Familiar Style	1967
10.2307/2872886	Richard Shusterman	Eliot and Logical Atomism	1982
10.2307/2871664		Volume Information	1942
